DISTRICT,POINTS_1,POINTS_2,POINTS_3,POINTS_4,POINTS_5,POINTS_6,POINTS_7,POINTS_8,POINTS_9,POINTS_10,POINTS_11,POINTS_12,POINTS_13,POINTS_14,POINTS_15,POINTS_16,POINTS_17,POINTS_18,POINTS_19,POINTS_20,POINTS_21,POINTS_22,POINTS_23,POINTS_24,POINTS_25,POINTS_26,POINTS_27,POINTS_28,POINTS_29,POINTS_30,POINTS_31,POINTS_32,POINTS_33,POINTS_34,POINTS_35,POINTS_36,POINTS_37,POINTS_38,POINTS_39,POINTS_40,POINTS_41,POINTS_42,POINTS_43,POINTS_44,POINTS_45,POINTS_46,POINTS_47,POINTS_48,POINTS_49,POINTS_50,POINTS_51,POINTS_52,POINTS_53,POINTS_54,POINTS_55,POINTS_56,POINTS_57,POINTS_58,POINTS_59,POINTS_60,POINTS_61,POINTS_62,POINTS_63,POINTS_64,POINTS_65,POINTS_66,POINTS_67,POINTS_68,POINTS_69,POINTS_70,POINTS_71,POINTS_72,POINTS_73,POINTS_74,POINTS_75,POINTS_76,POINTS_77,POINTS_78,POINTS_79,POINTS_80,POINTS_81,POINTS_82,POINTS_83,POINTS_84,POINTS_85,POINTS_86,POINTS_87,POINTS_88,POINTS_89,POINTS_90,POINTS_91,POINTS_92,POINTS_93,POINTS_94,POINTS_95,POINTS_96,POINTS_97,POINTS_98,POINTS_99,POINTS_100
AB51,0,0,1247,46,37,278,16,11,35,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB52,0,0,193,7,5,33,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB53,0,0,429,18,20,88,7,1,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB54,0,0,349,12,15,74,1,4,8,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB55,0,0,286,12,14,61,2,1,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB56,0,0,488,23,12,91,3,4,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL01,0,0,1056,9,12,271,2,5,24,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL02,0,0,967,12,8,274,3,7,36,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL03,0,0,1006,8,11,243,1,5,37,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL04,0,0,878,7,6,191,5,3,28,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
