DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
EH13,929,1039,4847,4387
EH14,2727,2958,13340,11399
EH15,1390,1593,6957,6327
EH16,2497,2927,9358,7743
EH17,1456,1902,6242,5052
EH18,101,144,839,822
EH19,676,904,5290,4928
EH20,348,497,2361,1978
EH21,1559,1873,8347,7440
EH22,1828,2357,10992,9651
EH23,480,659,3262,2929
EH24,78,131,731,705
EH25,154,211,1251,1177
EH26,878,1169,6084,5437
EH27,143,156,1091,1018
EH28,150,201,1317,1163
EH29,200,280,1950,1825
EH30,453,656,3805,3501
EH31,83,87,1041,1037
EH32,936,1214,6988,6294
EH33,673,870,4776,4253
EH34,64,82,1016,1013
EH35,82,146,844,712
EH36,12,8,166,166
EH37,50,83,640,606
EH38,12,14,172,181
EH39,348,482,3797,3683
EH40,69,82,837,824
EH41,502,648,4818,4545
EH42,487,623,4206,3943
EH43,46,65,284,257
EH44,125,161,1279,1199
EH45,451,557,4091,3929
EH46,130,141,1488,1503
EH47,1456,2051,9244,7718
EH48,1784,2321,13460,11780
EH49,658,846,6082,5723
EH51,713,888,5209,4602
EH52,960,1321,7298,6291
EH53,476,593,4244,3871
EH54,3649,4675,18386,15775
EH55,425,530,3084,2614
EN01,3695,4496,15523,13445
EN02,1702,2204,10977,9915
EN03,6100,7872,17816,13599
EN04,1624,1851,10072,9090
EN05,2627,3233,14394,12968
EN06,1307,1476,11633,11062
EN07,852,948,8675,8269
EN08,2368,2795,13794,11441
EN09,1131,1319,9796,8642
EN10,731,865,6851,6432
EN11,1038,1120,8588,7579
EX01,1323,1544,7591,6833
EX02,2191,2647,15066,13707
EX03,164,159,1906,1967
EX04,3435,3855,16139,13520
EX05,658,767,9515,9267
EX06,385,432,6141,5898
EX07,620,730,5125,4746
EX08,1715,2043,13761,12720
EX09,159,233,2764,2762
EX10,526,665,6627,6690
EX11,239,276,3552,3575
EX12,268,403,3698,3523
EX13,396,479,5058,4876
EX14,661,832,8486,7922
EX15,762,846,8953,8404
EX16,1305,1551,12307,11395
EX17,728,871,7684,7262
EX18,103,95,1365,1317
EX19,65,106,1582,1474
EX20,711,908,8434,7830
EX21,119,99,1914,1811
EX22,323,391,4708,4260
EX23,594,654,6245,5894
EX24,103,131,1511,1509
EX31,899,1123,10246,9595
EX32,1343,1563,8300,7362
EX33,328,418,4038,3756
EX34,947,1094,6340,5446
EX35,79,71,693,634
EX36,312,364,3693,3395
EX37,78,88,1660,1549
EX38,312,361,3195,2959
EX39,1539,1901,14504,13440
FK01,1469,1895,9773,8338
FK02,2226,2784,17449,15577
FK03,991,1268,5392,4432
FK04,564,799,4776,4299
FK05,761,1039,7307,6871
FK06,658,866,4968,4288
FK07,1544,2136,10310,9485
FK08,1105,1213,6195,5512
FK09,597,778,4448,4089
FK10,1994,2595,12539,11102
FK11,104,125,1020,1028
FK12,237,302,1761,1591
FK13,297,357,2179,1867
FK14,187,196,1840,1806
FK15,433,499,4123,4028
FK16,79,97,930,890
FK17,153,176,1380,1286
FK18,4,8,102,82
FK19,24,30,260,210
FK20,29,45,165,119
FK21,43,53,402,341
FY01,3649,3705,9298,5920
FY02,1432,1601,8151,6975
FY03,2263,2747,10169,8670
FY04,2688,3348,14761,12394
FY05,1695,1936,16589,15145
FY06,793,923,11357,10758
FY07,1907,2136,8014,6395
FY08,1821,2041,17000,15845
G01,623,412,1528,819
G02,331,225,598,280
G03,1961,1676,4980,3306
G04,1365,1020,2650,1466
G05,1472,1243,3188,2014
G11,1631,1695,6069,5390
G12,1755,1667,8257,7420
G13,2332,2679,9837,8452
G14,1575,1791,5129,4262
G15,1787,2064,4021,3248
G20,3191,3385,7863,6029
G21,3330,3654,6607,4439
G22,1961,2281,4079,2881
G23,580,736,2116,1786
G31,2863,3021,5924,4137
G32,2654,3338,10836,8476
G33,3557,4244,12678,10558
G34,1095,1305,1748,1232
G40,1319,1553,3114,2029
G41,2758,2878,10760,8903
G42,3849,3266,8276,5625
G43,1273,1398,5467,4696
G44,1786,2215,9311,8372
G45,1746,2000,3359,2295
G46,1734,1941,8565,7938
G51,3012,2944,5873,3841
G52,2278,2845,8029,6687
G53,2892,3452,9765,8361
G60,266,296,1953,1857
G61,1055,1130,11212,11136
G62,595,640,5037,5023
G63,306,359,3854,3992
G64,1138,1461,9727,9295
G65,795,995,4621,3909
G66,1923,2383,13977,12926
G67,2687,3299,10441,8354
G68,789,915,7224,6871
G69,1775,2253,12426,11213
G71,1463,1871,10776,10057
G72,2903,3590,16938,14940
G73,2244,2622,9851,8575
G74,1907,2332,13334,11726
G75,2365,3074,13607,11997
G76,945,1098,8136,8130
G77,842,1023,9925,10170
G78,1429,1754,7878,7067
G81,2989,3683,11210,9358
G82,1584,1996,8733,7738
G83,1491,1968,8106,7092
G84,1176,1414,7850,7183
GL01,3207,3367,11188,7969
GL02,1984,2479,22208,20744
GL03,1257,1674,12630,11636
GL04,2415,3005,17140,15346
GL05,1500,1608,11556,10882
GL06,831,936,10073,9955
GL07,1657,1923,17559,16729
GL08,262,354,3550,3526
GL09,51,63,1106,1078
GL10,587,592,5644,5179
GL11,622,789,7295,6871
GL12,496,482,6222,5851
GL13,150,176,2543,2276
GL14,698,853,5823,5065
GL15,729,903,8446,7764
GL16,465,625,5376,4988
GL17,377,498,4706,4336
GL18,268,357,3386,3069
GL19,229,208,3720,3604
GL20,1074,1193,11282,10407
GL50,1278,1530,7648,6404
GL51,2768,3417,18417,15886
GL52,2074,2291,17360,16517
GL53,805,832,7821,7681
GL54,777,862,9974,9699
GL55,179,178,2333,2377
GL56,324,385,3808,3815
